      tokens,        wires,    subscribers,  subscriptions,                       username,     verified
           4,            2,            140,            208,                 HeyLisenToThis,            0
           4,            1,            383,            167,                       owlmagic,            0
           4,            1,            364,           9209,                       eriksing,            0
           4,            1,            291,             57,                    MacedoniaMK,            0
           4,            1,            235,            103,                     Cungdanxua,            0
           4,            1,            169,             42,                      JokerSATX,            0
           3,            9,           3782,          23001,                     borishaifa,            0
           3,            6,           1732,           3440,                    chongcong54,            0
           3,            5,           1467,           3028,                       tuongncc,            0
           3,            5,           1055,            925,           Inquisitor_Firebrand,            0
           3,            5,            742,            257,                      Lino_Casu,            0
           3,            5,            741,           1444,                 PierrePhan2018,            0
           3,            5,            428,             87,                      BRITSKAYA,            0
           3,            4,           4926,            323,           ministerofpropaganda,            0
           3,            4,           2167,           1500,                     NandoMando,            0
           3,            4,           1859,           1767,            WilliamsStrangeFest,            0
           3,            4,           1832,           5609,                      BenCu1812,            0
           3,            4,           1349,           1971,                     RAZINGCANE,            0
           3,            4,            881,            262,                     Mystdragon,            0
           3,            3,           3337,          13337,                       Ricky168,            0
           3,            3,           2503,            582,              Skullcollector479,            1
           3,            3,           1427,           2061,                        dsthanh,            0
           3,            3,           1181,            220,                   MGTOWMonster,            0
           3,            3,           1044,           7759,                       birdsexy,            0
           3,            3,            971,            363,                     WulffHuman,            0
           3,            3,            667,            109,                 saneinanasylum,            0
           3,            3,            564,           1187,                   nhunghuynh86,            0
           3,            3,            543,            662,                    giedrizimus,            0
           3,            3,            471,           9191,                    ladyvietnam,            0
           3,            3,            349,            262,                  tonytwotellys,            0
           3,            3,            310,            151,                 BaronVonBoogie,            0
           3,            3,            297,            291,                        Eric714,            0
           3,            3,            197,             57,                     Vendetta50,            0
           3,            3,              2,              4,                     YellowFlag,            0
           3,            2,           1031,            288,                       rychorex,            0
           3,            2,           1014,            483,                      cashdaily,            0
           3,            2,            877,            782,                     SIRGANDALF,            0
           3,            2,            785,            350,                      RatJester,            1
